source,name,machine_type,alert_type,ts,cod,id,id1,event_type, master,pantograph,speed,lat,lon,extra,depot
711-062,,MD,TrainSet,9.48568E+11,0,0,0,OFF,,,0,0,0,   R3008 711-063|R3008 710-035|R3008 711-062,0
711-062,711-063,MD,PDM,9.48568E+11,7,12,0,ON,Master Assente,711-063,0,0,0,,0
711-062,711-063,MD,PDM,9.48568E+11,7,12,0,OFF,Master Assente,711-063,0,0,0,,0
711-062,711-081,MD,PDM,1.59556E+12,5,12,0,OFF,Master Assente,711-081,0,45.4506,8.62529,,0
711-062,711-081,MD,PDO,1.59556E+12,5,12,1,OFF,Master Assente,711-081,0,45.4506,8.62529,,0
711-062,711-081,MD,PDM,1.59556E+12,5,12,0,ON,Master Assente,711-081,0,45.4506,8.62529,,0
711-063,711-066,MD,PDM,1.60382E+12,5,4,0,OFF,Master Assente,711-066,0,45.5128,9.10944,,1
711-063,710-038,MD,PDM,1.60383E+12,5,15,0,OFF,Master Assente,Pantografo Assente,0,45.515,9.58613,,0
711-063,710-035,MD,PDM,1.60383E+12,5,15,0,ON,Master Assente,Pantografo Assente,0,45.515,9.58613,,0
711-063,,MD,TrainSet,1.60383E+12,0,0,0,OFF,,,0,0,0,   R3008 711-063|R3008 710-035|R3008 711-062|R5010 711-066|R5010 710-038|R5010 710-037|R5010 710-036|R5010 711-065,0
711-063,710-038,MD,PDM,1.60383E+12,5,15,0,ON,Master Assente,Pantografo Assente,0,45.515,9.58614,,0
711-063,710-035,MD,PDM,1.60383E+12,5,4,0,ON,711-063,711-062,1,45.515,9.58614,,0
711-063,711-066,MD,PDM,1.60383E+12,5,4,0,ON,711-063,711-062,1,45.515,9.58614,,0
711-063,710-035,MD,PDM,1.60383E+12,5,4,0,OFF,711-063,711-062,0,45.515,9.58614,,0
711-063,711-063,MS,PDO,1.63283E+12,5,12,1,ON,711-063,711-062,54,45.4592,9.23029,,0
711-063,711-063,MS,PDM,1.63283E+12,5,12,1,ON,711-063,711-062,54,45.4592,9.23029,,0
711-063,711-063,MS,PDO,1.63283E+12,5,12,1,OFF,711-063,711-062,52,45.4592,9.23029,,0
711-063,711-063,MS,PDM,1.63283E+12,5,12,1,OFF,711-063,711-062,52,45.4592,9.23029,,0
711-063,711-063,MS,PDO,1.63283E+12,5,12,1,ON,711-063,711-062,52,45.4592,9.23029,,0
711-063,711-063,MS,PDM,1.63283E+12,5,12,1,ON,711-063,711-062,52,45.4592,9.23029,,0
711-063,711-063,MS,PDO,1.63283E+12,5,12,1,OFF,711-063,711-062,51,45.5033,9.14752,,0
711-063,711-063,MS,PDM,1.63283E+12,5,12,1,OFF,711-063,711-062,51,45.5033,9.14752,,0
711-063,711-063,MS,PDO,1.63283E+12,5,12,1,ON,711-063,711-062,54,45.5042,9.14529,,0
711-062,711-062,MD,PDM,1.69129E+12,5,6,0,ON,Master Assente,711-062,50,45.52,9.09084,,1
711-062,711-062,MD,PDO,1.69129E+12,5,7,1,OFF,Master Assente,711-062,46,45.5203,9.09057,,1
711-062,711-062,MD,PDO,1.69129E+12,5,7,2,OFF,Master Assente,711-062,46,45.5203,9.09057,,1
711-062,711-062,MD,PDO,1.69129E+12,5,9,1,ON,Master Assente,711-062,46,45.5203,9.09057,,1
711-062,711-062,MD,PDM,1.69129E+12,5,6,0,OFF,Master Assente,711-062,45,45.5203,9.09057,,1
